datetime,open,high,low,close,volume
2022-03-24,139.20000,141.61900,137.75050,141.57201,26396000
2022-03-23,138.70250,139.58850,137.83501,138.27550,25154000
2022-03-22,136.10150,141.05000,136.10150,139.86800,35496000
2022-03-21,136.16350,137.05000,134.09250,136.10150,26832000
2022-03-18,133.42450,136.24400,132.25850,136.12550,44566000
2022-03-17,133.14900,134.08051,132.18500,133.83900,28264000
2022-03-16,130.73300,133.33299,128.73450,133.28050,35576000
2022-03-15,126.97600,129.85451,125.72050,129.19800,30920000
2022-03-14,130.25000,130.40900,125.27500,125.95100,38812000
2022-03-11,133.48849,133.79550,129.63150,129.87050,31526000
2022-03-10,131.26601,133.27200,130.91251,132.42950,27102000
2022-03-09,131.25000,133.73550,129.90050,133.42000,37026000
2022-03-08,126.25000,131.25000,125.67450,127.10450,40428000
2022-03-07,131.48801,131.73500,126.29500,126.37850,45112000
2022-03-04,132.92751,133.85150,130.33749,131.90649,30430000
2022-03-03,136.00999,136.43950,133.02550,133.89951,24604000
2022-03-02,134.62801,135.26250,133.07150,134.57150,23520000
2022-03-01,134.87849,136.25549,133.21851,134.06149,26496000
2022-02-28,133.05000,135.75150,132.59250,135.05701,38864000
2022-02-25,133.55200,135.27150,131.75150,134.45950,36406000
2022-02-24,124.95350,133.00000,124.95350,132.69099,54456000
2022-02-23,131.64850,132.05099,127.52750,127.58800,32786000
2022-02-22,129.83800,132.18050,128.22350,129.81351,44990000
2022-02-18,133.46700,134.07001,130.19650,130.40300,45620000
2022-02-17,136.24300,137.11349,132.47850,132.53900,38950000
2022-02-16,136.64650,138.08600,134.92400,137.73801,25022000
2022-02-15,137.57050,138.10851,135.82150,136.60851,26680000
2022-02-14,133.25650,136.30000,133.25650,135.52600,34302000
2022-02-11,138.60001,139.15649,133.39999,134.28250,39958000
2022-02-10,139.70351,141.48450,137.95700,138.62000,39330000
2022-02-09,140.96350,142.52451,140.18700,141.59200,40144000
2022-02-08,139.02650,140.00000,137.01401,139.39900,54284000
2022-02-07,144.25000,144.25000,138.89999,139.20100,54974000
2022-02-04,143.44450,144.87500,140.51500,143.29300,57998000
2022-02-03,145.70551,149.67500,142.66550,143.09000,71518000
2022-02-02,151.25000,151.54649,145.52251,148.00000,123200000
2022-02-01,137.59450,137.79300,134.36850,137.64400,68644000
2022-01-31,134.16200,135.47301,132.20950,135.30350,39986000
2022-01-28,129.65900,133.35651,128.48500,133.35100,34362000
2022-01-27,131.30400,132.65250,128.93250,129.00500,31950000
2022-01-26,131.11900,133.00000,127.14200,129.23300,49130000
2022-01-25,128.74001,129.39900,126.50050,126.93500,46960000
2022-01-24,125.97800,131.20300,124.50000,130.80400,76622000
2022-01-21,132.59351,134.86549,130.08650,130.35150,55652000
2022-01-20,136.25000,137.62601,132.96449,133.30750,29908000
2022-01-19,136.52350,137.95950,135.01550,135.11650,28648000
2022-01-18,136.17500,137.13150,135.43851,135.99800,34872000
2022-01-14,137.07899,140.74200,136.99850,139.48050,29662000
2022-01-13,141.53999,142.85001,138.40900,138.58701,31436000
2022-01-12,141.14999,142.60800,140.69450,141.43050,26108000
2022-01-11,138.00700,140.21600,136.69250,139.73599,28730000
2022-01-10,135.07800,138.81950,133.16451,138.66949,44408000
2022-01-07,138.14549,138.44850,135.76649,137.01700,29760000
2022-01-06,136.99850,139.94000,136.55850,137.74750,37348000
2022-01-05,144.42000,144.49950,137.68800,137.77499,54618000
2022-01-04,145.39600,146.48500,143.71651,144.39951,28400000
2022-01-03,145.05499,145.85100,143.71300,144.99150,28646000
